Session ID,OLX User ID,Category 1 Ads,Category 2 Ads
ead6104c8b8c6463,19963,4,1
b3c9a3c0cc37186f,10920,0,0
d468f31263c749df,18079,0,0
507469a13d3b2b49,6292,0,26
289d20499b547465,2468,0,5
e23338d1396813b3,19186,0,0
599695d0b9ccbc72,7158,0,0
d8b28a383f8cefec,18412,204,0
7f5b63aaba12f779,10429,0,0
e3919c5c850ae064,19327,0,0
a634cc19faa9714b,14036,0,6
19d7a888e1a44e5,492,0,0
2d267d84f2e6f742,2889,0,0
830b5bcdc33a9eb4,6004,0,0
575992f2ae1cf9d0,6952,3,128
6f667a023334cc4e,9114,4,0
8834d12ebe38bcd0,11389,1,0
35ac51bc4d4f4b0c,3760,0,0
a0b7801434752c3,13576,0,46
b4866d1304b951ed,15351,0,6
b7ebd7dd590424bd,15631,0,0
2022d1f2ebca111a,1649,0,258
7df300cd5101b81e,10275,0,0
48dab0724951b0df,5586,1,21
60f5f5b964c2dac7,7770,39,0
ac39c02b989629c2,14572,0,1
67afeb2cb049e11b,8448,0,0
8c529a32ba693000,11844,0,0
500f77c627623964,6263,0,0
47b50eedab4d700,5503,0,0
82bba3902a99030d,10765,0,0
510edf1b57bfedd4,6347,0,0
7f64bbc9b8b64a35,10431,0,0
25703cf51f88964b,2170,3,0
f1ce468f95e57d2a,20502,0,0
849d1ee6acff3b55,11109,0,127
76b8cdac460b03ad,9732,0,0
57431d845fa9a958,6941,0,1
c64a55aa490ed49a,16865,1,0
22778c25d97827bb,1857,0,0
d75508d13adac4c2,18338,0,201
5fc5a86e4c116f59,7668,0,3
daf095acf34ea1bd,18629,0,0
e78ffe4c50967b89,19633,0,0
80903dc538184a89,8356,0,3
bf24a26448ebef07,16305,0,48
65fae59dc1ed3f76,8259,4469,0
f3e2b539b2d0b88e,20651,0,17
74f6af4737cf5a4d,9621,0,0
5293d00b9dfc28a1,6496,0,0
30eeb7d956018b9f,3276,2,0
a7b310839639d7c0,2546,9,14
4ee2729e428fdb3a,6125,0,31
537c7f8266da1e13,6571,0,0
b570bd2b0c2ea67e,11449,0,0
6d2c72583e11c21f,8897,0,0
453c01aa741ec79a,5240,20,0
871b7fff8db9a668,11310,0,2
850c12b8ebdc68a8,11141,2,1
8323d46093ffcbc4,10824,0,0
3344708dc293bd67,3515,0,0
1049b17bd64a58da,22,0,0
a240079262c84eff,8153,0,0
df1878b971d13c25,18954,0,0
1cfa436733455510,1279,0,1
2dd77e2c92787dbb,2984,0,0
74f6f64975c66851,8453,0,11
423a92a09da962aa,4961,0,1
acb1becdde2eeeb2,14625,0,0
8dfe7f0acf14edde,11974,0,0
ac6c70c6a741f425,14595,0,3
91c84bf18317696a,12282,0,0
235db63dda6390f4,1940,0,0
7f1889e8f971a4a4,10397,0,0
f543e7f9dbfd367f,20780,0,0
e4735cb02d6d7374,4132,0,0
90e352bc940fbc4e,12214,145,0
3aa84dea2305206a,4240,0,0
b015a76efa2a3db6,423,0,0
b98594cb6d1dada5,15137,0,0
1cb3b8df29d7e6f1,1254,0,0
b36a84b3f3ac0555,5871,0,14
d4651b7a73da044d,18071,0,0
ffddfeb058c5983d,21596,0,0
b8fdebf70e7b6822,7730,0,0
f81422a4434d058e,20998,2,0
4e0ac8f8347ee3c5,6054,0,12
c20b31e32b6a5737,16514,0,0
d468bcd8a962a0f1,14494,0,8
46543f21e621d393,5347,1,35
6aaa34089bb7000,8699,0,0
e78ffe4c50967b89,19597,0,0
6a747eb18bb250a1,8688,0,233
2fabd4cdbfe2b12b,3173,0,0
ca9e42b8aaea8007,17219,11,0
d06b80b44419865e,17720,0,0
1b36eda59b5f360b,1071,0,1
5680a6d3f7c3d8ba,6895,0,0
cfd01b5789d6abde,17652,0,1
fe4dff5cb5086e2d,21479,1,0
1af2df7764893d,1044,0,27
4c253b7a01653eaf,5895,0,0
6d956347c521d4ee,8939,0,0
b63f07ca4d8d6e0c,14894,0,33
c7482247243565fc,16926,0,0
386224abe1f74c59,4032,0,0
3112aaafa99674e6,3291,0,0
6f17efd397fa41f0,9088,33,0
b3c9a3c0cc37186f,15288,0,0
5c9563007b70fc7d,7381,0,16
d61759a9340744a0,18215,0,0
f4a7562ccee824e5,20724,0,2
7cbee0fed99737dc,10189,0,0
6ff07aaf450a27a5,9195,0,26
b0ac9caa999fc72e,14967,0,0
ad02cdfdb181baa8,14644,24,164
48470985df812ed5,5554,0,88
49af2c2b97dadbd0,5647,0,0
a35fb9417795fbcb,13816,0,8
72a193d148a69b2e,9447,4,0
facecffa8b235b83,21219,0,0
25466354f66d1474,2143,0,0
c0a8169ea2737972,16406,0,0
fec91c04a5fc6a73,21512,0,1
b9431a5bbe4c4cf0,15744,0,0
e855b95ddf2b3167,19729,0,0
2638bb0089c3da57,2261,0,0
a5f524f2ec89ccb,14025,1,0
a7a501fa74bf1d36,14188,0,0
ec261421d53825c7,20110,0,0
fe4dff5cb5086e2d,21481,21,0
e57bd698e016396e,19422,0,1
4c618d64855963f0,5916,0,0
f901fe7518dba27b,21074,0,11
4057fa1581e5359e,4778,1,0
37aee7b277ca181a,3962,7,2
e99013bf414d11f4,19817,9,0
da70b2fc7474ed84,18582,0,0
ff4eb3a713c4e643,21542,0,0
bb758cd0777b9591,15920,0,16
bd071801761f1870,16067,21,0
cc87474f1cc77c4b,17394,0,0
afcde859c2c597ec,1159,0,2
6aad8732da52ab80,8701,0,0
f19fafa9f63fb3ac,20480,0,0
c110dac017fca39c,16448,0,0
356e669a9b56bf44,3738,0,0
b7f1e025d9f23574,15639,0,0
c3cc730994a631bf,16648,0,0
5e6942b8e28f8017,7568,0,26
e0cf94bbf7bfe87,19066,0,0
1b2fa100ccf72290,1068,0,0
d44bee858ddcdfc3,16087,0,0
41181648415ba4be,4848,3,14
a26a045a94946544,206,1,0
f876437b93b44116,21029,0,8
87aa213b2dd6b077,11350,0,0
b600acee16f620ff,15477,0,1
3e889866238a7213,4583,0,11
36e54d5f1de330c6,3894,0,31
258d308eb6ad930d,2196,0,0
ea463909554b2e50,19919,9,35
cfd0c1062ef2f2d2,17657,0,4
8323d46093ffcbc4,10949,0,0
47f18aa9a6c55be4,5522,0,0
31cb230d3a6f3e80,3351,0,5
c6cefcb3d5ba08cf,16700,0,14
b3c9a3c0cc37186f,10806,0,0
482820feb2dc4142,5549,19,1
8121ee5f0c51f2ce,10593,0,0
25a70edf1fee06b1,2202,1,0
739bf0f899fc055d,9519,0,0
e8a35e1723ffb547,19744,0,0
a0919a458685eb7,13551,0,2
a6457498f20c191f,14041,0,0
8c6a48ebe83b72a8,6302,0,0
27e3862a17c9c57f,2389,1,0
3c20855263876db0,4373,0,0
a0f8be3bd1f2b1d0,422,0,0
425bbfb85746f06e,4993,0,0
34cdcb2450d80cf2,3659,0,0
258d308eb6ad930d,2195,0,0
37916793103d1ab1,3958,0,0
20b2daf1204a6c26,1693,0,0
5c54cec4cb201113,7366,0,7
f96e1342f9bccaf4,21107,0,0
351bd6f6d31d8cfb,3716,0,84
cfa039f8d5fbb5dc,17645,0,0
2e8f21b72412d8a8,3060,4,10
f50eef2f698c38ef,20758,0,7
d42f7d33c087551c,18044,0,0
1c4dd06d00e86842,1203,0,271
81b6859c91a49df6,982,0,0
55c5c07cc1ca8432,6812,0,0
2450c459370f2c81,2039,0,0
b85e6191c990d1bf,15671,0,0
5e8dca0c1f331ad8,7581,292,0
3d27e65174bd2795,4434,18,0
dffa57e211e1ad1e,8902,0,0
d1ae34c8e3021ace,17814,6,2
e8564bf28b23d073,19733,0,3
c5ee8e954b4ddb8e,16825,0,6
a43c3e2e0d5dfdfe,13903,0,45
3e412b37bedcf685,4554,30,0
8eea060ea5e856d5,5983,0,2
4d52fa0bff9d3289,2621,4,0
b3c9a3c0cc37186f,10872,0,0
6ddb616c491cee4a,8974,0,2
a54b604fec8146e5,13968,0,14
4f4a54996660388f,6171,0,0
f9852b68c094b7b1,20440,0,0
ef9ecfae5634a49,20338,0,0
6fdf2e1f7ebb545f,9180,0,0
ba3c73deb9f12eb2,15843,0,1
4d52fa0bff9d3289,5990,0,0
7c9022d6d79dcfb,10170,0,0
4fbf8bf3a5b78643,6242,13,11
422a9602af315e66,4957,0,0
b395dda88042f29a,15209,0,0
992c93081837b858,12829,0,0
928f5bc5db3dd211,12319,0,10
26c4d044ebf3b7d1,2303,0,0
560b1b4eadddf0da,6850,0,1
f2ef6f742ed370b6,20593,0,0
b7fa57fd226d85bd,15646,0,0
ac5e61dca3f05ad7,14592,0,0
a45bb291627e0818,13916,0,0
45ab60163cf0e23e,5275,2,0
4ab9aee54ec6bac9,5762,2,0
e1ae0c30c0ca6825,19132,0,1
8c2d399a691459ea,11810,0,20
b0816227121d27aa,14936,0,0
8323d46093ffcbc4,10933,0,0
ef1bd04c04250ece,20314,0,0
ebfc8893af700d68,20100,1,0
46168b50e8fed442,5323,0,0
5c1ed4bef73cb34e,4844,0,23
45f383f8d28c7a5a,5299,0,0
86474d93b8cef8f0,11247,0,0
7154cdb53e3fc039,9312,1,0
97837721f28f8ce1,12684,0,1
cf165a8dfee8c750,17616,0,0
d427a8716f284fdd,18040,0,29
a0fc1a40a03be9fb,13599,0,0
9743cb2eb966b938,12667,10,0
b3c9a3c0cc37186f,10928,0,0
8f262ddd88d50bd1,4138,0,0
922668c8ccca7947,12303,0,0
a23e242c6c249e66,13726,0,27
edfe602d4155cbdf,3931,0,25
9ae205fa619b5b55,12961,0,0
3dd9de7751406368,4508,0,0
7b2dd662b81514ab,10056,0,0
18c6ef8e456d1a5b,825,0,1
e6bc45edbb2ff6ed,17465,0,1
8cc9ebc471ba49e1,1423,0,3
3de8e97f4af14ca4,2885,0,0
9c59b36fdd10d4f1,13069,0,0
ed7bba7a6ca567e4,20214,0,0
cc9018d6b4beb885,17400,0,1
2b0e262ddac5b2d7,2707,0,0
289d20499b547465,2466,0,3
50474a466de4e79c,6277,0,0
f743ce4a524ce78d,20941,12,0
47f3f812f71a35c8,5524,0,0
99bf7083b27563d5,8510,0,0
cbc8efb1b57dbc9a,17322,0,0
718b3b26b04e7185,9338,0,0
becf4f3b90d7d5e1,3651,0,0
7999c4a12d29d21b,9966,9,13
6baa21be92c5253f,8777,0,24
ccaf130b59ab771d,17418,0,1
e61c0aca830cdf2c,19490,4,1
6439693b892655e8,8096,0,0
a149f0de2cf4c2e9,13628,0,0
529eba003807eca3,6505,0,569
e133957d8bae53c8,19109,0,0
54646b587d6cf88d,6665,0,0
6d02e512fdac2610,8890,0,12
b8cac914d398a89c,15695,0,0
744b701c22653370,9578,1,0
34ab2bcee2d8a9c3,3635,0,0
441da7ae209cef7c,5149,0,1
2c03cf8c0c7c43d4,2788,1,0
3278c52df0997820,3412,1,338
a604b4b6f2f57ba3,14027,0,0
126f2441a54a9fe3,240,0,0
2a3207f6d014d808,2585,0,28
11efa925a2a4a46e,192,14,0
66326d1bf039e571,8286,0,13
c6c0d952c45063b0,16900,0,0
94ef13f3d1153334,12496,0,1
d6fdc31c2f72f77c,18313,0,0
81150c9b8ca71f56,10590,0,0
a4b2dbeea3fb37f4,13944,0,0
e6bd4100547493ad,1092,0,0
3232b3da796c2aa8,3386,0,0
4287ac8f8f8a4777,5002,0,0
e949d1390c71a12e,19793,0,0
5aee969d47710c82,7259,0,0
b3c9a3c0cc37186f,10795,0,0
641a4957a5c1a24f,8089,0,143
7c6327f5a8dfa99,10156,0,1
4bbf8a5936563bd9,5863,3,0
15e0ebecbe41d8cb,548,0,0
9ed89167d203a823,13352,4,35
fe4156425d158838,21471,0,0
efb7ea95605fddea,20348,0,0
1252082134d3943b,220,0,0
9a32d102763fb80a,12901,0,0
